imdb_title_id,title,language,genre,director,total_votes
tt0110357,The Lion King,"English, Swahili, Xhosa, Zulu","Animation, Adventure, Drama","Roger Allers, Rob Minkoff",917248
tt1049413,Up,English,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson",911402
tt0120382,The Truman Show,English,"Comedy, Drama, Sci-Fi",Peter Weir,910502
tt0105236,Le iene,English,"Crime, Drama, Thriller",Quentin Tarantino,896551
tt0167404,The Sixth Sense - Il sesto senso,"English, Latin, Spanish","Drama, Mystery, Thriller",M. Night Shyamalan,894385
tt0073486,Qualcuno volÌ? sul nido del cuculo,English,Drama,Milos Forman,891071
tt0338013,Se mi lasci ti cancello,English,"Drama, Romance, Sci-Fi",Michel Gondry,889875
tt1431045,Deadpool,English,"Action, Adventure, Comedy",Tim Miller,882037
tt0081505,Shining,English,"Drama, Horror",Stanley Kubrick,869480
tt0082971,I predatori dell'arca perduta,"English, German, Hebrew, Spanish, Arabic, Nepali","Action, Adventure",Steven Spielberg,865510
tt0114709,Toy Story - Il mondo dei giocattoli,English,"Animation, Adventure, Comedy",John Lasseter,864461
tt1392190,Mad Max: Fury Road,"English, Russian","Action, Adventure, Sci-Fi",George Miller,856553
tt7286456,Joker,English,"Crime, Drama, Thriller",Todd Phillips,855097
tt0107290,Jurassic Park,"English, Spanish","Action, Adventure, Sci-Fi",Steven Spielberg,846021
tt2488496,Star Wars - Il risveglio della Forza,English,"Action, Adventure, Sci-Fi",J.J. Abrams,845102
tt0119217,Will Hunting - Genio ribelle,English,"Drama, Romance",Gus Van Sant,837379
tt2267998,L'amore bugiardo - Gone Girl,English,"Drama, Mystery, Thriller",David Fincher,833485
tt0477348,Non Ì¬ un paese per vecchi,"English, Spanish","Crime, Drama, Thriller","Ethan Coen, Joel Coen",831694
tt1392170,Hunger Games,English,"Action, Adventure, Sci-Fi",Gary Ross,830511
tt0268978,A Beautiful Mind,English,"Biography, Drama",Ron Howard,827595
tt0264464,Prova a prendermi,"English, French","Biography, Crime, Drama",Steven Spielberg,800449
tt4154756,Avengers: Infinity War,English,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",796486
tt0198781,Monsters & Co.,English,"Animation, Adventure, Comedy","Pete Docter, David Silverman",794964
tt1010048,The Millionaire,"English, Hindi, French, German","Drama, Romance","Danny Boyle, Loveleen Tandan",786365
tt0088247,Terminator,"English, Spanish","Action, Sci-Fi",James Cameron,784356
tt0078748,Alien,English,"Horror, Sci-Fi",Ridley Scott,768874
tt0095016,Trappola di cristallo,"English, German, Italian, Japanese","Action, Thriller",John McTiernan,767893
tt0208092,Snatch - Lo strappo,"English, Russian","Comedy, Crime",Guy Ritchie,766589
tt1454468,Gravity,"English, Greenlandic","Drama, Sci-Fi, Thriller",Alfonso CuarÌ?n,755710
tt4154796,Avengers: Endgame,"English, Japanese, Xhosa, German","Action, Adventure, Drama","Anthony Russo, Joe Russo",754786
tt0180093,Requiem for a Dream,English,Drama,Darren Aronofsky,748291
tt0903624,Lo Hobbit - Un viaggio inaspettato,English,"Adventure, Fantasy",Peter Jackson,746008
tt1201607,Harry Potter e i Doni della Morte - Parte 2,English,"Adventure, Drama, Fantasy",David Yates,743339
tt3659388,Sopravvissuto - The Martian,"English, Mandarin","Adventure, Drama, Sci-Fi",Ridley Scott,740757
tt0066921,Arancia meccanica,English,"Crime, Drama, Sci-Fi",Stanley Kubrick,740301
tt1300854,Iron Man 3,English,"Action, Adventure, Sci-Fi",Shane Black,739816
tt0435761,Toy Story 3 - La grande fuga,"English, Spanish","Animation, Adventure, Comedy",Lee Unkrich,739717
tt1675434,Quasi amici - Intouchables,"French, English","Biography, Comedy, Drama","Olivier Nakache, Ìäric Toledano",736691
tt0401792,Sin City,English,"Crime, Thriller","Frank Miller, Quentin Tarantino",733158
tt0800369,Thor,English,"Action, Adventure, Fantasy",Kenneth Branagh,731043
tt0246578,Donnie Darko,English,"Drama, Mystery, Sci-Fi",Richard Kelly,728383
tt0458339,Captain America - Il primo Vendicatore,"English, Norwegian, French","Action, Adventure, Sci-Fi",Joe Johnston,723473
tt2395427,Avengers: Age of Ultron,"English, Korean","Action, Adventure, Sci-Fi",Joss Whedon,722685
tt0416449,300,English,"Action, Drama",Zack Snyder,722519
tt0086250,Scarface,"English, Spanish","Crime, Drama",Brian De Palma,721343
tt1843866,Captain America: The Winter Soldier,"English, French","Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",719085
tt0118715,Il grande Lebowski,"English, German, Hebrew, Spanish","Comedy, Crime, Sport","Joel Coen, Ethan Coen",713883
tt0120915,Star Wars: Episodio I - La minaccia fantasma,English,"Action, Adventure, Fantasy",George Lucas,713119
tt0253474,Il pianista,"English, German, Russian","Biography, Drama, Music",Roman Polanski,707942
tt1205489,Gran Torino,"English, Hmong",Drama,Clint Eastwood,707142
tt1228705,Iron Man 2,"English, French, Russian","Action, Adventure, Sci-Fi",Jon Favreau,706284
